wavelength,flux
3809.790517750247,1.3171380361656574e-16
3812.2073048699513,1.3132191724785132e-16
3814.624091989654,1.4623371028046614e-16
3817.0408791093582,1.7561201740088871e-16
3819.457666229061,1.3293667077853206e-16
3821.8744533487647,1.768300068374663e-16
3824.2912404684675,1.4575381275754542e-16
3826.7080275881717,1.5519373025950682e-16
3829.124814707875,1.5523978388247472e-16
3831.5416018275782,1.0840780768372288e-16
3833.958388947282,1.5238092029799862e-16
3836.375176066985,1.8704393301633087e-16
3838.791963186689,1.3781196537023627e-16
3841.2087503063917,1.691018349480324e-16
3843.625537426096,1.2608774836436678e-16
3846.0423245458,1.526771042099708e-16
3848.4591116655024,1.8062216013835207e-16
3850.875898785205,1.4398938327794456e-16
3853.292685904909,1.3178658196231583e-16
3855.709473024613,1.7398984437054986e-16
3858.1262601443163,1.54045661052673e-16
3860.54304726402,1.6681472349235574e-16
3862.9598343837233,1.5427057400933224e-16
3865.376621503427,1.9534299960655302e-16
3867.7934086231307,2.600196501198261e-16
3870.210195742834,2.11670122225185e-16
3872.6269828625377,2.003427886682368e-16
3875.0437699822405,2.098991310585973e-16
3877.4605571019442,1.873783018165112e-16
3879.877344221647,1.5159867839645424e-16
3882.294131341351,1.820908088189489e-16
3884.7109184610545,1.4903403071810318e-16
3887.127705580758,1.4797058352494408e-16
3889.5444927004614,1.739595314556521e-16
3891.961279820165,2.1876974416543422e-16
3894.3780669398684,1.3568990563239346e-16
3896.794854059572,1.7533699849552454e-16
3899.211641179276,2.0010462591993527e-16
3901.6284282989777,2.0501099163287235e-16
3904.045215418682,2.009859830496483e-16
3906.4620025383856,1.4612519690054906e-16
3908.8787896580893,1.3273557378662121e-16
3911.2955767777926,1.881651101349568e-16
3913.7123638974963,1.606903004406731e-16
3916.1291510171995,1.4351731386204192e-16
3918.5459381369033,1.7584112575588066e-16
3920.9627252566065,1.7129681788583332e-16
3923.37951237631,1.7354720095421886e-16
3925.7962994960135,1.5343933694718864e-16
3928.2130866157167,1.6536035142975608e-16
3930.6298737354205,1.304754850578527e-16
3933.0466608551237,1.24086476150731e-16
3935.4634479748274,1.1985330520203523e-16
3937.8802350945307,1.5835920424778816e-16
3940.2970222142344,1.4749864787314622e-16
3942.7138093339377,1.3460343432147979e-16
3945.130596453641,1.3852461012546812e-16
3947.5473835733446,1.7578583620628372e-16
3949.964170693048,1.5023153099336659e-16
3952.3809578127516,1.3616696082271574e-16
3954.797744932455,1.2274747401255387e-16
3957.2145320521586,1.4418870355644447e-16
3959.631319171862,1.300122821344693e-16
3962.0481062915655,1.0630178120490394e-16
3964.464893411269,1.456503438137261e-16
3966.881680530972,1.319099975383113e-16
3969.298467650676,1.0962116849688276e-16
3971.715254770379,1.5950689127993527e-16
3974.1320418900827,1.6757572441514122e-16
3976.548829009786,1.5315948542650142e-16
3978.9656161294906,9.105628176217148e-17
3981.382403249193,1.5236800098980467e-16
3983.7991903688967,1.6369611912281563e-16
3986.2159774886,1.1227256727653218e-16
3988.632764608303,1.4823491778020036e-16
3991.049551728007,1.7110400781344563e-16
3993.46633884771,1.4711725095730528e-16
3995.883125967414,1.367768808404866e-16
3998.299913087117,1.2960810070604848e-16
4000.716700206821,1.710952004836225e-16
4003.133487326524,2.070151262526435e-16
4005.550274446228,1.7438910510193426e-16
4007.967061565932,1.8213310596165923e-16
4010.383848685635,1.499715498336244e-16
4012.800635805338,1.5878804694421364e-16
4015.2174229250413,1.5029045706069311e-16
4017.634210044745,1.1254624430513124e-16
4020.0509971644483,1.5501553857797531e-16
4022.467784284152,1.3886775500488814e-16
4024.8845714038553,1.3429603278079768e-16
4027.301358523559,1.6004767102895726e-16
4029.7181456432622,1.4620886163731828e-16
4032.134932762966,1.644893170640342e-16
4034.55171988267,1.7506760419069223e-16
4036.9685070023725,1.778909402391838e-16
4039.385294122076,1.6368560025634871e-16
4041.8020812417794,1.387218057443397e-16
4044.218868361483,9.985747604900592e-17
4046.6356554811864,1.2905647609879268e-16
4049.05244260089,1.4896019105613275e-16
4051.4692297205934,1.7296241206484154e-16
4053.886016840297,1.7553463437279816e-16
4056.3028039600003,1.6323999172970668e-16
4058.7195910797036,1.4067938609987303e-16
4061.1363781994073,1.557961290545768e-16
4063.5531653191106,1.2722814376506787e-16
4065.9699524388143,1.3789051954031994e-16
