wavelength,flux
3811.6263045629316,1.940071293947678e-16
3814.0487909921176,1.999296320890541e-16
3816.471277421304,2.1367919638347711e-16
3818.8937638504904,2.1028649794797974e-16
3821.3162502796768,2.2354338334485155e-16
3823.7387367088622,2.1084879946437963e-16
3826.1612231380486,2.0190355517167022e-16
3828.583709567235,1.8893327579741556e-16
3831.0061959964205,1.5633865153205028e-16
3833.428682425607,1.4331655174898288e-16
3835.8511688547933,1.4167782121446602e-16
3838.2736552839797,1.650504984766429e-16
3840.696141713166,1.886280732772253e-16
3843.1186281423516,2.0598960588584651e-16
3845.541114571538,1.781627823709255e-16
3847.9636010007243,2.054599341202053e-16
3850.38608742991,2.0358738589650926e-16
3852.808573859096,2.0623483812614456e-16
3855.2310602882826,2.123970868901076e-16
3857.653546717469,1.999813180004137e-16
3860.0760331466554,2.1620969836485722e-16
3862.498519575841,1.9518224667791381e-16
3864.921006005028,2.092919491911808e-16
3867.3434924342137,2.274389653990203e-16
3869.765978863399,2.424869293526872e-16
3872.1884652925864,2.1197201720934524e-16
3874.610951721772,1.9254167228927288e-16
3877.033438150959,2.2118549148101412e-16
3879.4559245801447,1.6949802981966216e-16
3881.87841100933,1.8143390854294488e-16
3884.300897438517,1.5305294715444774e-16
3886.723383867703,1.5991823291174932e-16
3889.1458702968885,1.6582178114869362e-16
3891.5683567260753,1.7462481851398015e-16
3893.9908431552612,1.8010329487120259e-16
3896.413329584448,1.9580212360811199e-16
3898.835816013634,1.9995932336806027e-16
3901.2583024428195,2.185526479833647e-16
3903.6807888720064,1.824415760922397e-16
3906.103275301192,1.8885889761725483e-16
3908.525761730378,2.0990350381854802e-16
3910.9482481595646,1.8211345218065706e-16
3913.3707345887506,1.8846819355047643e-16
3915.7932210179374,1.9748179820054904e-16
3918.215707447124,1.9710209251633322e-16
3920.6381938763093,1.9437772877913611e-16
3923.0606803054957,2.0376747200029763e-16
3925.483166734682,1.9133112694623302e-16
3927.9056531638676,1.7989947244361234e-16
3930.328139593054,1.9871492681461743e-16
3932.75062602224,1.7781244604372528e-16
3935.173112451427,1.6593884165967687e-16
3937.595598880613,1.968330268860853e-16
3940.0180853097986,1.8452138102126903e-16
3942.4405717389845,2.224881669663933e-16
3944.863058168172,2.0553413835841167e-16
3947.285544597357,2.2102491052321847e-16
3949.7080310265433,2.127109812729124e-16
3952.130517455729,1.7840781524873122e-16
3954.5530038849165,2.1356819880335398e-16
3956.9754903141024,1.9048494363465603e-16
3959.397976743288,1.943920416931609e-16
3961.820463172474,1.8591436791498854e-16
3964.242949601661,1.5157814599175704e-16
3966.665436030846,1.5138621419667498e-16
3969.0879224600326,1.5974718120008916e-16
