wavelength,flux,fluxerr
3656.436,5.261407129374704e-15,-3.586162232666394e-19
3658.723,5.019033275851766e-15,-3.586162232666394e-19
3661.011,4.7550700012109585e-15,-3.586162232666394e-19
3663.298,4.996103571879263e-15,-3.586162232666394e-19
3665.586,5.545655766139686e-15,-3.586162232666394e-19
3667.873,5.544496602589733e-15,-3.586162232666394e-19
3670.161,5.217612481503051e-15,-3.586162232666394e-19
3672.448,5.065218698545197e-15,-3.586162232666394e-19
3674.736,5.0987619937719555e-15,-3.586162232666394e-19
3677.024,5.5577907595532545e-15,-3.586162232666394e-19
3679.311,5.3468592173227856e-15,-3.586162232666394e-19
3681.599,5.18627884179339e-15,-3.586162232666394e-19
3683.886,4.8060731974088805e-15,-3.586162232666394e-19
3686.174,5.395362967116121e-15,-3.586162232666394e-19
3688.461,5.641540326037342e-15,-3.586162232666394e-19
3690.749,5.115859656133759e-15,-3.586162232666394e-19
3693.037,5.463753616563335e-15,-3.586162232666394e-19
3695.324,5.830230417653092e-15,-3.586162232666394e-19
3697.612,6.068909437360555e-15,-3.586162232666394e-19
3699.899,5.507330921269373e-15,-3.586162232666394e-19
3702.187,5.576590943379051e-15,-3.586162232666394e-19
3704.474,5.86833791935779e-15,-3.586162232666394e-19
3706.762,5.640996968123302e-15,-3.586162232666394e-19
3709.05,6.000373892469598e-15,-3.586162232666394e-19
3711.337,6.001098369688318e-15,-3.586162232666394e-19
3713.625,6.075212389163424e-15,-3.586162232666394e-19
3715.912,5.886160058938313e-15,-3.586162232666394e-19
3718.2,6.262525974063604e-15,-3.586162232666394e-19
3720.487,5.727898010508823e-15,-3.586162232666394e-19
3722.775,6.0537678634892976e-15,-3.586162232666394e-19
3725.063,6.466067848663125e-15,-3.586162232666394e-19
3727.35,6.161787416800521e-15,-3.586162232666394e-19
3729.638,5.959368481890018e-15,-3.586162232666394e-19
3731.925,5.995121432633874e-15,-3.586162232666394e-19
3734.213,6.17993557112947e-15,-3.586162232666394e-19
